artist,title,year_released,rating,review,genre,query,album_id,my_track,my_album,my_artist,my_label,artist_orig,title_orig,year_released_orig,rating_orig,review_orig,genre_orig,query_orig,album_id_orig,my_track_orig,my_album_orig,my_artist_orig,my_label_orig,artist_norm_orig,my_artist_norm_orig,title_norm_orig,my_album_norm_orig
!!!,"Strange Weather, Isn't It?",2010,6.9,"indelible conventional extended still double streaked far capable good more general long its second head engaging obvious dripping low effective dry content chilly big away past moving material plus well which former drained compelling best even beginning other seamless fourth frigid straightforward minute rhythmic most top crackling mixed certain all two hollow glassy every heavy vocal such sure down front bold full one true these eight visceral steady strange half otherwise each Warp's dance-rock lifers return to basics after theÂ at-times ham-handed, at-times highly effective rockism of 2007'sÂ Myth Takes.",Rock,disco steady rising rock,7,Closer,Heartthrob,Tegan and Sara,Vapor/Warner Records,Tegan and Sara,Heartthrob,2013,7.3,"young just time live more loving varying obvious accused same seventh feeling sweet big which shy much stylistic sonic quaint magic soaring respective two obsessive easy bent real stormy down little working friendly fair one least wanting devoted concise arid decent acoustic half each The title of Tegan and Sara's seventh album is a reference to how we relate to the objects of our affection as teenagers. Produced by Greg Kurstin (P!nk, Kelly Clarkson, Lily Allen), the concise, radio-friendly collection finds them exploring a populist pop bent.",Rock,rock pop emo stormy electro,18873,,,,,tegan and sara,,heartthrob,
!!!,Thr!!!er,2013,6,"just time more long better liquid fleeting low shaggy lively content popping timorous well minimal soulful both mixed wandering vocal mild cramped true last slippery inspired party timely live later tidy flat away usual only another dead much even dynamic overall top working smooth fair brief meaty fine fading unsurprising superior general same pronounced which light stylistic surprised banging icy sunny first crucial mystic right modest goofy taut one exploding four level unflattering electronic elevated proportional anxious deep cold reliable influential single big nebulous dubious chanting glaring most all house down careful scratchy five wiry lean thunderous strange north sticky Thirteen years and five LPs into !!!'s output, the mostly well-turned but low-impact Thr!!!er has all the hallmarks of the Brooklyn punk-funk band-- wiry, kinked guitars, ropy bass lines, popping handclaps, chanting choruses, and falsetto outbursts-- minus a crucial one: abandon.",Rock,disco electronic funk workout rock house minimal retro soul punk pop,8,Multi-Love,Multi-Love,Unknown Mortal Orchestra,Jagjaguwar,Unknown Mortal Orchestra,Multi-Love,2015,7.1,"huge game specific day work major hard time tripping head loose unknown deep central fit his inside inward musical obtuse well only another tangled even beginning opposite mixed life all easy silly down lyrical one crowded mortal revealing fatal next cramped last thin tiny pure white her fussy purposeful The production on Unknown Mortal Orchestra's third album is so central itâ€™s almost another character on the album, corroding and tripping out the instruments. Ruban Nielson's fastidious choices behind the boards are a large part of what makesÂ Multi-LoveÂ a joy to listen to.",Rock,motown world funk baroque vintage analog soul pop,21667,,,,,unknown mortal orchestra,,multilove,
+/-,Self-Titled Long-Playing Debut Album,2002,8.4,"previous just disparate time very far pretty general more long its enough digital his distant cold old single mournful upsetting rewarding close complex which only joyous alien even crazy startling nice difficult genuine straightforward simple experimental drenched warm varied perfect small subtle all most kind subdued house dissonant vocal shut such new golden ready sleepy real little tight full five artistic secret one jarring fair interesting these fine greatest upbeat magnetic white acoustic electronic each I swear, some days it's like I can't even mention the name James Baluyut without hearing something about ...",,experimental warm electronic noise rock house pop neon,16,Excuses,Big Echo,The Morning Benders,Rough Trade,The Morning Benders,Big Echo,2010,8.2,"previous just double clean good more giving second its economical rough rudimentary cold uncertain big away past sleeping cavernous another simultaneous sonic stylistic excellent round even tangled accessible bright nice soft experimental simple entire less relative jagged two all background sunny first wet limited charming much adequate trying little down complicated one open these unsure stable whose inspired front sticky half each gorgeous San Fran baroque-pop group takes a nice step forward on its sophomore album, thanks in part to pristine production from Grizzly Bear's Chris Taylor.",Rock,pop experimental orchestral rock,20112,,,,,the morning benders,,big echo,
...And You Will Know Us by the Trail of Dead,Worlds Apart,2005,4,"day major muted early pretty telling anxious its head colossal public winning biggest inside single outrageous past masked which only another curious dead uncompromising sonic even essential beginning high grand deceitful minute most top perfect boring life all every house terrible safe commercial first grating secret one shadowed subversive these four poor pointless convinced laughable Austin-based rock heroes And You Will Know Us By the Trail of Dead follow the glorious noise and epic urgency of Source Tags & Codes with this sadly pompous, overreaching monstrosity.",Rock,world rock house punk pop,29,Kiwi,Harry Styles,Harry Styles,Columbia,Harry Styles,Harry Styles,2017,6.8,"young still subject either work clinging time hard very wide original captivating lead its long available master his roguish same biggest sweet popular single fun which only even uninterested most both all middle baby two easy right wet down one hanging next male late period whose established half laughable overt The One Direction memberâ€™s solo debut pays fine tribute to classic rockâ€™nâ€™roll and shows off his exceptional voice, if not his enigmatic persona.",Pop/R&B,folk world rock pop rolling,7990,,,,,harry styles,,harry styles,
03 Greedo,The Wolf of Grape Street,2018,8,"just seven homeless its foreign intimidating free his biggest rural popular single familiar which dead stylistic purple best large difficult creative less most moved two house consistent new real individual left little gripping full one greedy four last thin business street each The latest collection from the Watts rapper is an essential piece of West Coast rap, at times pulsating and manic, born from a singular writer and chameleonic stylist.",Rap,metal tribute rap house,37,I Follow Rivers,Wounded Rhymes,Lykke Li,Atlantic Records UK,Lykke Li,Wounded Rhymes,2011,8.3,"still desperate secure time pretty more second its long southern quiet depressing tumultuous rough low eager biggest single dark musical busy close complex which well yearning only normal much compelling even depressive common powerful high bleak comfortable simple rhythmic blunt contradictory intense most vulnerable all astute life stark melodic intimate such poised new brash great little audacious considerable serious one scintillating dense persistent weird next these concise pure rich her alone understanding Swedish star follows herÂ YouthÂ Novels with another record that captures the complex, contradictory, and intense yearning of young adulthood.",Pop/R&B,soundtrack dense intimate dark,11704,,,,,lykke li,,wounded rhymes,
100 gecs,"10,000 gecs",2023,8.2,"identical specific elevated work just major gluttonous plastic whole melancholy seven more lead unenviable its smarter enough feeling larger conflicted single fun affordable big literal computer opening ideal depressive crazy even internal alienated alive blue social warm both small kind baby moved every house all choice first snarling new deceptive grave hot mortal weird traditional different aware white decent cheap hypothetical random proper The madcap duoâ€™s second album is about many thingsâ€”junk food, being dumb, the ska revivalâ€”but mostly itâ€™s about two savants making pop music sound absurdly fun.",Experimental / Electronic,glitch warm metal house ska hollywood punk pop,42,In My Head,I Remember,AlunaGeorge,Universal-Island Records Ltd.,AlunaGeorge,I Remember,2016,6.6,prize just still futuristic emotional hard time more second animal long playful its burning deep motor his harsh unlikely old fun dark past which well another curious heartrending much due bad soft short slow all every house heavy modern nostalgic first ceaseless new filmy cool sinuous down mean heady absorbing one nasal swaying dense these lacking noncommittal next forward slippery white alike listless half Aluna Francis and George Reid's sophomoreÂ albumÂ globe-trots through bass and sass-heavy dance tunes that occasionally stall out at their peaks.,Pop/R&B,swaying futuristic dense noise dancehall dark house distorted nostalgic pop electro,686,Baby Got Going,Whitechocolatespaceegg,Liz Phair,Capitol Records,alunageorge,liz phair,i remember,whitechocolatespaceegg
10k.Caash,Planet Swajjur,2020,6.2,"famous still work whole emotional crunchy longer home various more viral its latest authentic cutting regional largest digital his biggest influential big colorful former which intentional other third entire most both respective short dominant worth national all dirty viable first repetitive educational average south ready sure prolific recent stock last established useful After a mixtape staking his claim to the Woah, a viral dance, the Dallas rapper looks to present himself as a bona fide pop artist with an aesthetic universe of his own.",Rap,pop rap crunchy country,47,Marceline,ARDIPITHECUS,WILLOW,Roc Nation W Smith P&D,Willow,Ardipithecus,2015,5.8,"confident just whole time more unnecessary old inside clear express powerful potential small alternative tribal such frequent little fresh polished spiritual blossoming asymmetrical tough still secure silver early pretty lead later current exuberant public solid fun musical able past another much written even overall untrained brilliant focused life natural subdued mature artistic appropriate complete gigantic good astonishing same frank complex which forgivable light giving other mystical middle windy first average one late official capable its head enough exclusive single mission plausible chanting high nine entire fast most all arresting puzzling lyrical down full five traditional youngest her surprising After debuting with her hit single ""Whip My Hair,"" Willow Smith (daugher of Will and Jada Pinkett Smith) left her music career. Five years later, she emerges with a precocious, fitfully interesting new record that shows growing pains in between bursts of inspiration.",Rock,pop world polished exuberant,23188,,,,,willow,,ardipithecus,
12 Rods,Separation Anxieties,2000,2,offensive just inventive time very capable more hurt its second her enough fit physical same opening shattered absolute sickening well which another only sonic salvageable even less bad unique fast awful perfect worst short lost all newest every robotic terrible wrong heavy modern such generic aggressive great grating down regular impressive synthetic rare one perplexing acid greatest displaced stoic limp tough half It's a rare occurrence indeed that listening to a record actually causes me physical pain. I'm capable of ...,Rock,punk noise,51,Violent Crimes,ye,Kanye West,"Getting Out Our Dreams, Inc./Def Jam Recordings",Kanye West,ye,2018,7.1,"favorite autographed very seven more certified private its empty enough living free better born his public old leading drunk past clear which much elaborate even shameless bleak minute less most choice bothered all lost vacant right convenient great eighth full appropriate diminutive west one least savvy steady decent whose party eight crumbling Kanye Westâ€™s stint in Wyoming created an album born from chaos for chaosâ€™ sake. Though it can be somewhat fascinating, it is undoubtedly a low point in his career.",Rap,steady soul,10029,,,,,kanye west,,ye,
13ghosts,Cicada,2005,7.8,"near just local time good original pretty more later its long southern low his scared unwieldy larger strange loud sharp which bulky dead written destructive soft third unusual straightforward less most short all two life key vocal first actual new untimely down little impressive modest changing full dear exciting abrupt strong one messy these buzzing late unfocused drowsy whose different weary unsettling Originally self-released in 2004, this LP-- chockablock with ideas, encompassing an impressive breadth of styles and sounds-- is given a welcome reissue.",Rock,folk world gospel blues country rock pop lounge,56,Hard Times,After Laughter,Paramore,Fueled By Ramen,Paramore,After Laughter,2017,7.5,"glorious young just hard more long second enough pious wary his biggest immense old single fifth leading touching away musical fun past jolly former which well even best whining bright genuine quality most status all life bigger extreme heavy informed first right ominous new real left recent friendly one these last unsure despondent trivial complete front her each After years of merrily keeping the Paramore lights on, Hayley Williams considers her life and lets go of her grin on her latest album, a fizzy yet despondent piece of â€™80s pop-rock.",Rock,metal funk rock distorted drama punk pop,14755,,,,,paramore,,after laughter,
13ghosts,The Strangest Colored Lights,2008,7.6,"ragged fried lonely work untitled possible time very home faint good more omnivorous fictional its artless southern burning deep immortal gritty his affirmative closed old abrasive dark locked clear which another raw somber much compelling even humorless high modified fourth less kind black mystical two every brutal subdued all stacked first new trying left vigorous absorbing one true weird poor conspiratorial corner different spare dreamy her half The two songwriters in this Birmingham, Ala., band come over like deep-fried Gutter Twins, and their obsession with mortality makes them musically omnivorous, as if they must digest as much as possible in their allotted time on Earth.",Rock,gritty world outsider poetry dark rock sleep raw dreamy reggae,57,Make Me Your Queen,What Do You Think About the Car?,Declan McKenna,Columbia,Declan McKenna,What Do You Think About the Car?,2017,5.9,"mere previous young just floppy deeply major progressive early tempting home pretty later its vague eloquent used second obvious concerned his old muddled which written best bland twinkling female evocative most social confused confusing lost all every red super similar such interesting one numerous four The 18-year-old UK singer-songwriter Declan McKenna has been called a voice of his generation. His major label debut is scattershot, though it includes a Rostam-helmed standout.",Rock,jazz pop britpop,4976,,,,,declan mckenna,,what do you think about the car,
